mOTU,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_172,1.0,0.9230769230769231,0.9230769230769231,0.0,1.0,0.9230769230769231,0.0,0.8461538461538461,1.0,0.0,1.0,1.0,0.6923076923076923,0.0,1.0,0.0,13,81.04008667388948,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_174,0.0,0.75,0.75,0.0,0.5,0.75,0.75,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,4,79.92957746478874,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_179,0.09090909090909091,0.8484848484848485,0.8484848484848485,0.0,0.12121212121212122,0.8787878787878788,0.0,0.0,0.8484848484848485,0.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,0.8787878787878788,0.7878787878787878,33,81.09261630388391,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_226,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,3,86.38497652582157,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_233,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,2,96.47887323943662,100.0
COMPLETE-SET-AND-BULK_mOTU_244,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.45714285714285713,0.37142857142857144,0.0,0.0,0.37142857142857144,0.0,0.42857142857142855,0.37142857142857144,0.0,0.0,0.02857142857142857,0.34285714285714286,35,26.197189670020105,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_253,0.09090909090909091,0.25,0.25,0.20454545454545456,0.25,0.2159090909090909,0.23863636363636365,0.13636363636363635,0.23863636363636365,0.0,0.25,0.11363636363636363,0.25,0.011363636363636364,0.011363636363636364,0.23863636363636365,88,20.6946297791293,100.0
COMPLETE-SET-AND-BULK_mOTU_261,0.7777777777777778,0.7777777777777778,0.0,0.0,1.0,1.0,0.7777777777777778,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.8888888888888888,0.0,9,52.738656369327074,85.91549295774648
COMPLETE-SET-AND-BULK_mOTU_265,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.4722222222222222,0.5555555555555556,0.16666666666666666,0.4444444444444444,0.5555555555555556,0.0,0.5833333333333334,0.5555555555555556,0.16666666666666666,0.0,0.027777777777777776,0.1111111111111111,36,50.00000416666665,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_278,0.0,0.7272727272727273,0.7272727272727273,0.0,0.8181818181818182,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.0,0.8181818181818182,0.0,11,88.22023047375158,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_292,0.8260869565217391,0.0,0.8260869565217391,0.0,0.8695652173913043,0.8260869565217391,0.0,0.8695652173913043,0.8260869565217391,0.0,0.8695652173913043,0.8260869565217391,0.8260869565217391,0.0,0.782608695652174,0.0,23,81.9963257807716,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_293,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,3,81.22065727699531,100.0
COMPLETE-SET-AND-BULK_mOTU_319,0.8,0.8,0.8,0.0,1.0,0.8,0.0,1.0,1.0,0.0,1.0,1.0,0.6,0.0,0.6,0.8,5,61.69014084507042,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_324,0.8,0.8,0.8666666666666667,0.0,0.8666666666666667,0.8333333333333334,0.0,0.7666666666666667,0.8666666666666667,0.0,0.8666666666666667,0.8666666666666667,0.5666666666666667,0.0,0.0,0.0,30,70.18779376056337,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_328,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.5,0.0,0.0,0.5,0.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,6,25.586861126760564,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_335,0.02564102564102564,0.4358974358974359,0.02564102564102564,0.3333333333333333,0.3076923076923077,0.05128205128205128,0.0,0.0,0.38461538461538464,0.0,0.4358974358974359,0.4358974358974359,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.0,39,34.23619147706752,100.0
COMPLETE-SET-AND-BULK_mOTU_345,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,88.73239436619718,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_352,0.1,0.2,0.2,0.1,0.9,1.0,0.0,0.1,0.7,0.0,0.8,1.0,1.0,0.1,0.3,0.1,10,90.28169014084506,100.0
COMPLETE-SET-AND-BULK_mOTU_360,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,81.69014084507042,81.69014084507042
COMPLETE-SET-AND-BULK_mOTU_364,0.5294117647058824,0.0,0.0,0.0,0.5294117647058824,0.5294117647058824,0.0,0.0,0.7647058823529411,0.0,0.7647058823529411,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.0,17,55.840932038111006,100.0
COMPLETE-SET-AND-BULK_mOTU_368,0.6296296296296297,0.6666666666666666,0.0,0.0,0.9629629629629629,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.0,0.0,0.9629629629629629,0.9259259259259259,0.5925925925925926,0.0,0.7407407407407407,0.0,27,54.512259478351595,91.54929577464787
COMPLETE-SET-AND-BULK_mOTU_369,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,3,89.67136150234741,100.0
COMPLETE-SET-AND-BULK_mOTU_375,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2,92.95774647887325,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_378,0.0,0.625,0.625,0.125,0.5,0.25,0.0,0.25,0.75,0.0,0.75,0.5,0.625,0.75,0.75,0.0,8,81.86619843309859,100.0
COMPLETE-SET-AND-BULK_mOTU_380,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,88.73239436619718,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11842105263157894,0.0,0.13157894736842105,0.02631578947368421,0.0,0.013157894736842105,0.13157894736842105,0.0,76,13.472951210155651,100.0
COMPLETE-SET-AND-BULK_mOTU_390,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.0,2,35.2112726056338,70.4225352112676
COMPLETE-SET-AND-BULK_mOTU_397,0.01818181818181818,0.05454545454545454,0.05454545454545454,0.0,0.03636363636363636,0.15454545454545454,0.0,0.00909090909090909,0.18181818181818182,0.0,0.19090909090909092,0.13636363636363635,0.14545454545454545,0.0,0.07272727272727272,0.17272727272727273,110,12.599240026888586,100.0
COMPLETE-SET-AND-BULK_mOTU_402,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,7,80.6841046277666,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_407,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2,64.7887323943662,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_414,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.0,0.0,1.0,0.8,5,91.54929577464789,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,25,15.774655887323922,100.0
COMPLETE-SET-AND-BULK_mOTU_419,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2,92.25352112676056,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_422,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,2,84.50704225352112,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_426,0.05113636363636364,0.11363636363636363,0.10227272727272728,0.0,0.09659090909090909,0.011363636363636364,0.0,0.0,0.03409090909090909,0.0,0.11931818181818182,0.0625,0.011363636363636364,0.0,0.005681818181818182,0.03409090909090909,176,10.443350505761822,100.0
COMPLETE-SET-AND-BULK_mOTU_448,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2,79.5774647887324,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_453,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,2,72.53521126760563,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_469,0.6,0.0,0.0,0.0,1.0,0.6,0.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8,5,73.80281690140842,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_475,0.4782608695652174,0.0,0.5,0.0,0.043478260869565216,0.41304347826086957,0.0,0.08695652173913043,0.2391304347826087,0.0,0.5217391304347826,0.41304347826086957,0.4782608695652174,0.0,0.043478260869565216,0.13043478260869565,46,32.48622667789343,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_483,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.75,0.0,0.75,0.25,0.25,0.25,0.5,0.25,4,40.14085007042254,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_508,0.03333333333333333,0.23333333333333334,0.26666666666666666,0.0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.36666666666666664,0.23333333333333334,0.2,0.0,0.2,0.03333333333333333,30,10.798130399061018,81.69014084507042
COMPLETE-SET-AND-BULK_mOTU_512,0.2,0.14,0.2,0.0,0.24,0.18,0.0,0.18,0.18,0.0,0.24,0.2,0.16,0.0,0.0,0.0,50,13.71831805915491,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_535,0.5,1.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0,0.0,1.0,0.75,0.25,0.0,0.5,0.0,4,42.957751478873234,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_538,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,3,62.441314553990615,77.46478873239437
COMPLETE-SET-AND-BULK_mOTU_542,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,74.64788732394365,74.64788732394365
COMPLETE-SET-AND-BULK_mOTU_551,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,83.09859154929578,83.09859154929578
COMPLETE-SET-AND-BULK_mOTU_556,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,94.3661971830986,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_606,0.0,0.0,0.04,0.16,0.08,0.0,0.0,0.0,0.04,0.0,0.08,0.2,0.0,0.16,0.04,0.0,25,22.535218467605624,100.0
COMPLETE-SET-AND-BULK_mOTU_610,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,3,39.436623051643195,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_624,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2,45.77465288732394,91.54929577464787
COMPLETE-SET-AND-BULK_mOTU_627,0.1,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.08,0.04,0.0,0.0,0.08,0.04,50,33.21127380563379,100.0
COMPLETE-SET-AND-BULK_mOTU_644,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,87.32394366197181,87.32394366197181
COMPLETE-SET-AND-BULK_mOTU_653,1.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,81.2206572769953,84.50704225352112
COMPLETE-SET-AND-BULK_mOTU_656,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.25,0.0,12,7.159633579812209,85.91549295774648
COMPLETE-SET-AND-BULK_mOTU_668,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,71.83098591549296,71.83098591549296
COMPLETE-SET-AND-BULK_mOTU_669,0.7142857142857143,0.0,0.8571428571428571,0.0,0.8571428571428571,0.42857142857142855,0.0,0.0,0.7142857142857143,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.5714285714285714,0.8571428571428571,7,35.61368637826962,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_673,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,100.0,100.0
COMPLETE-SET-AND-BULK_mOTU_686,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,97.1830985915493,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_710,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,6,72.53521293427228,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_717,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2,69.01408450704226,77.46478873239437
COMPLETE-SET-AND-BULK_mOTU_719,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,2,70.4225352112676,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_723,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,7,75.85513221327967,100.0
COMPLETE-SET-AND-BULK_mOTU_724,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,92.95774647887325,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_732,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,90.14084507042253,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_733,1.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,0.0,4,49.29577464788732,81.69014084507042
COMPLETE-SET-AND-BULK_mOTU_735,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,78.87323943661971,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_738,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,70.4225352112676,70.4225352112676
COMPLETE-SET-AND-BULK_mOTU_741,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2,49.29577464788733,70.4225352112676
COMPLETE-SET-AND-BULK_mOTU_758,0.56,0.48,0.48,0.52,0.56,0.08,0.0,0.04,0.56,0.0,0.56,0.56,0.48,0.12,0.24,0.04,25,50.87324383661971,100.0
COMPLETE-SET-AND-BULK_mOTU_761,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,2,47.88732894366197,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_770,0.32432432432432434,0.32432432432432434,0.35135135135135137,0.2972972972972973,0.40540540540540543,0.40540540540540543,0.0,0.0,0.2972972972972973,0.0,0.43243243243243246,0.32432432432432434,0.35135135135135137,0.05405405405405406,0.08108108108108109,0.0,37,25.732780974495608,100.0
COMPLETE-SET-AND-BULK_mOTU_779,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,76.05633802816901,76.05633802816901
COMPLETE-SET-AND-BULK_mOTU_782,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2,92.95774647887325,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_784,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,74.64788732394365,74.64788732394365
COMPLETE-SET-AND-BULK_mOTU_788,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,3,93.89671361502347,100.0
COMPLETE-SET-AND-BULK_mOTU_795,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,92.95774647887325,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_798,0.875,0.0,0.5,0.0,0.875,0.875,0.0,0.875,0.875,0.0,0.875,0.875,0.5,0.0,0.0,0.125,8,81.33802941901408,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_809,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,100.0,100.0
COMPLETE-SET-AND-BULK_mOTU_815,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.0,14,13.581497505030184,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_816,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.0,4,71.83098841549295,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_834,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,98.59154929577464,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_835,0.07692307692307693,0.8461538461538461,1.0,0.0,0.6153846153846154,0.8461538461538461,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.23076923076923078,0.0,13,35.42795540628385,71.83098591549296
COMPLETE-SET-AND-BULK_mOTU_840,0.3333333333333333,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.5,6,80.51643359154929,100.0
COMPLETE-SET-AND-BULK_mOTU_867,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2,78.16901408450705,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_875,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2,37.323948661971826,74.64788732394365
COMPLETE-SET-AND-BULK_mOTU_882,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,100.0,100.0
COMPLETE-SET-AND-BULK_mOTU_891,0.2,0.2,0.2,0.0,0.4,0.2,0.0,0.4,0.4,0.0,0.4,0.4,0.2,0.4,0.0,0.0,5,14.929585464788733,74.64788732394365
COMPLETE-SET-AND-BULK_mOTU_902,0.8,0.8,1.0,0.2,1.0,1.0,0.0,0.2,0.8,0.0,1.0,0.8,0.8,0.0,0.4,0.0,5,49.859156929577466,80.28169014084506
